sample_id,Species,Tissue,Sample_type,Histological_image,img_ext,Sex,Disease_state,Probe_set,sequencing_instrument,sequencing_depth,Space_Ranger,age,mouse_strain,Ref_dataset_RCTD,notes
Human_Kidney_FFPE,Human,Kidney,FFPE,H&E,tif,F,non-diseased,v2.0,Illumina NovaSeq X+,238.8M,v3.1.2,,,,
FF_Human_Tonsil,Human,Tonsil,Fresh_Frozen,H&E,tif,,healthy,v2.0,UG 100 Solaris Flex,2B,v3.1.2,,,,
FF_Human_Breast_Cancer,Human,Breast_Cancer,Fresh_Frozen,H&E,tif,F,cancer,v2.0,UG 100 Solaris Flex,2B,v3.1.2,,,,ductal carcinoma in situ
Human_Breast_Cancer_FFPE,Human,Breast_Cancer,FFPE,IF,btf,F,cancer,v2.0,Illumina NovaSeq 6000,361.5M,v3.1.2,,,,
Human_Lung_Cancer_HD_Only_Experiment1,Human,Lung_Cancer,FFPE,H&E,btf,,adenocarcinoma,v2.0,Illumina NovaSeq 6000,395.7M,v3.0.0,,,,
Human_Lung_Cancer_post_Xenium_v1_Experiment1,Human,Lung_Cancer,FFPE,H&E,btf,,adenocarcinoma,v2.0,Illumina NovaSeq 6000,374.1M,v3.0.0,,,,
Human_Lung_Cancer_HD_Only_Experiment2,Human,Lung_Cancer,FFPE,H&E,btf,,adenocarcinoma,v2.0,Illumina NovaSeq 6000,298.7M,v3.0.0,,,,
Human_Lung_Cancer_post_Xenium_Prime_5K_Experiment2,Human,Lung_Cancer,FFPE,H&E,btf,,adenocarcinoma,v2.0,Illumina NovaSeq 6000,300.9M,v3.0.0,,,,
Mouse_Lung_Fresh_Frozen,Mouse,Lung,Fresh_Frozen,H&E,tif,M,healthy,v2.0,Illumina NovaSeq 6000,985.5M,v3.1.1,8w,C57BL/6,,
Mouse_Brain_Fresh_Frozen,Mouse,Brain,Fresh_Frozen,H&E,tif,M,healthy,v2.0,Illumina NovaSeq 6000,1013.3M,v3.1.1,8w,C57BL/6,,
Mouse_Brain_Fixed_Frozen,Mouse,Brain,Fixed_Frozen,H&E,btf,M,healthy,v2.0,Illumina NovaSeq 6000,445M,v3.1.1,8w,C57BL/6,,
Human_Tonsil_Fresh_Frozen_IF,Human,Tonsil,Fresh_Frozen,IF,tif,M,reactive follicular hyperplasia,v2.0,Illumina NovaSeq 6000,,v3.1.1,21y,,,
Human_Tonsil_Fresh_Frozen,Human,Tonsil,Fresh_Frozen,H&E,tif,M,reactive follicular hyperplasia,v2.0,Illumina NovaSeq 6000,1271.6M,v3.1.1,21y,,,
Human_Lung_Cancer_Fixed_Frozen,Human,Lung_Cancer,Fixed_Frozen,H&E,btf,F,cancer,v2.0,Illumina NovaSeq 6000,526.5M,v3.1.1,79y,,,
Human_Breast_Cancer_Fresh_Frozen,Human,Breast_Cancer,Fresh_Frozen,H&E,tif,F,cancer,v2.0,Illumina NovaSeq 6000,743.2M,v3.1.1,58y,,,
Human_Breast_Cancer_Fixed_Frozen,Human,Breast_Cancer,Fixed_Frozen,H&E,btf,F,cancer,v2.0,Illumina NovaSeq 6000,541.5M,v3.1.1,76y,,,
Mouse_Kidney,Mouse,Kidney,FFPE,H&E,btf,M,healthy,v2.0,Illumina NovaSeq 6000,513.6M,v3.0,8w,C57BL/6,,
Mouse_Embryo,Mouse,Embryo,FFPE,H&E,btf,M,healthy,v2.0,Illumina NovaSeq 6000,403.1M,v3.0,E 15.5,C57BL/6,,
Human_Pancreas,Human,Pancreas,FFPE,H&E,btf,F,healthy,v2.0,Illumina NovaSeq 6000,418M,v3.0,,,,
Mouse_Brain,Mouse,Brain,FFPE,H&E,tif,M,healthy,v2.0,Illumina NovaSeq 6000,312.1M,v3.0,8w,C57BL/6,,
Human_Lung_Cancer,Human,Lung_Cancer,FFPE,IF,tif,F,lung cancer,v2.0,Illumina NovaSeq 6000,357.6M,v3.0,72y,,,
Mouse_Small_Intestine,Mouse,Small_Intestine,FFPE,H&E,btf,M,healthy,v2.0,Illumina NovaSeq 6000,321.6M,v3.0,8w,C57BL/6,,
Human_Colon_Cancer,Human,Colon_Cancer,FFPE,H&E,btf,M,colorectal cancer ,,Illumina NovaSeq 6000,,v3.0,60y,,,
